timestamp,experiment_name,model,dataset,vision_feature,text_feature,audio_feature,seed,reg_weight,n_mm_layers,n_ui_layers,valid_recall@5,valid_recall@10,valid_recall@20,valid_recall@50,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,valid_ndcg@50,valid_precision@5,valid_precision@10,valid_precision@20,valid_precision@50,valid_map@5,valid_map@10,valid_map@20,valid_map@50,test_recall@5,test_recall@10,test_recall@20,test_recall@50,test_ndcg@5,test_ndcg@10,test_ndcg@20,test_ndcg@50,test_precision@5,test_precision@10,test_precision@20,test_precision@50,test_map@5,test_map@10,test_map@20,test_map@50
2025-11-28 15:34:38,FREEDOM_text_minilm,FREEDOM,lastfm,None,text_minilm.npy,None,999,0.001,3,3,0.0458,0.0939,0.1725,0.3168,0.0893,0.099,0.131,0.1904,0.089,0.0901,0.0811,0.0591,0.0854,0.0715,0.0802,0.0988,0.0522,0.0988,0.1653,0.299,0.1358,0.1321,0.1466,0.207,0.1358,0.1225,0.1027,0.0745,0.1303,0.0954,0.0876,0.107
2025-11-28 16:37:15,FREEDOM_image_vit,FREEDOM,lastfm,image_vit.npy,None,None,999,0.001,3,3,0.0452,0.0943,0.1778,0.3125,0.0906,0.0995,0.1336,0.1894,0.0902,0.0908,0.0829,0.0586,0.0848,0.0708,0.0804,0.0981,0.0517,0.096,0.1627,0.3016,0.1362,0.1312,0.1454,0.2078,0.1356,0.1214,0.102,0.075,0.1305,0.0952,0.0862,0.1062
2025-11-28 17:44:12,FREEDOM_text_minilm_image_vit,FREEDOM,lastfm,image_vit.npy,text_minilm.npy,None,999,0.001,3,3,0.0458,0.094,0.1725,0.3167,0.0891,0.0988,0.1309,0.1904,0.0888,0.0898,0.0811,0.0592,0.0854,0.0715,0.0802,0.0987,0.0527,0.0986,0.165,0.2997,0.1362,0.1322,0.1466,0.2074,0.1362,0.1224,0.1026,0.0745,0.1306,0.0954,0.0877,0.1071
2025-11-28 18:52:27,FREEDOM_text_clip_image_clip,FREEDOM,lastfm,image_clip.npy,text_clip.npy,None,999,0.001,3,3,0.0457,0.0938,0.1727,0.3168,0.0893,0.0989,0.1312,0.1905,0.0888,0.09,0.0812,0.0591,0.0854,0.0715,0.0802,0.0988,0.0522,0.0986,0.1654,0.2991,0.1357,0.132,0.1467,0.207,0.1358,0.1225,0.1027,0.0745,0.1303,0.0953,0.0876,0.107
2025-11-29 20:58:31,FREEDOM_audioclip_full,FREEDOM,lastfm,image_audioclip.npy,text_audioclip.npy,audio_audioclip.npy,999,0.001,3,3,0.046,0.0941,0.1727,0.3172,0.0895,0.0991,0.1312,0.1906,0.0891,0.0902,0.0811,0.0592,0.0857,0.0716,0.0803,0.0989,0.0526,0.0989,0.1644,0.2994,0.1358,0.1323,0.1463,0.2072,0.1358,0.1227,0.1023,0.0745,0.1299,0.0953,0.0875,0.107
