timestamp,model,dataset,vision_feature,text_feature,audio_feature,seed,reg_weight,valid_recall@5,valid_recall@10,valid_recall@20,valid_recall@50,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,valid_ndcg@50,valid_precision@5,valid_precision@10,valid_precision@20,valid_precision@50,valid_map@5,valid_map@10,valid_map@20,valid_map@50,test_recall@5,test_recall@10,test_recall@20,test_recall@50,test_ndcg@5,test_ndcg@10,test_ndcg@20,test_ndcg@50,test_precision@5,test_precision@10,test_precision@20,test_precision@50,test_map@5,test_map@10,test_map@20,test_map@50
2025-10-29 11:02:47,VBPR,lastfm,None,text_minilm.npy,None,999,1e-05,0.073,0.1326,0.2212,0.3689,0.1377,0.1422,0.1764,0.237,0.1363,0.1232,0.1016,0.0678,0.1215,0.0993,0.1096,0.1293,0.0733,0.1268,0.199,0.3494,0.1763,0.1695,0.1831,0.2509,0.1742,0.1531,0.1218,0.0858,0.1585,0.12,0.1119,0.1344
2025-10-29 11:26:54,VBPR,lastfm,image_vit.npy,None,None,999,1e-05,0.0715,0.1285,0.22,0.3697,0.1335,0.1381,0.1743,0.2364,0.1319,0.1195,0.101,0.0683,0.1169,0.096,0.1068,0.1278,0.0754,0.1298,0.2086,0.3566,0.1813,0.1734,0.1899,0.2562,0.1787,0.1552,0.1265,0.0867,0.1611,0.1214,0.1142,0.1367
2025-10-29 11:49:32,VBPR,lastfm,image_vit.npy,text_minilm.npy,None,999,1e-05,0.0701,0.1317,0.2217,0.371,0.1342,0.1399,0.1754,0.2369,0.1317,0.1208,0.1015,0.0682,0.1185,0.0967,0.1076,0.1282,0.0768,0.1307,0.2054,0.3484,0.1859,0.1755,0.1896,0.2543,0.1831,0.156,0.1243,0.0853,0.166,0.1242,0.1153,0.1374
2025-10-29 12:10:51,VBPR,lastfm,image_clip.npy,text_clip.npy,None,999,1e-05,0.0709,0.13,0.2179,0.3573,0.1354,0.14,0.1737,0.2312,0.1335,0.1215,0.0998,0.0658,0.1176,0.0962,0.1066,0.1252,0.0707,0.1222,0.2009,0.3539,0.1714,0.1646,0.182,0.2508,0.1691,0.1488,0.1225,0.0867,0.1524,0.1149,0.1082,0.1314
2025-10-29 12:28:51,VBPR,lastfm,image_audioclip.npy,text_audioclip.npy,audio_audioclip.npy,999,1e-05,0.0688,0.1258,0.2069,0.3495,0.1277,0.134,0.1654,0.2245,0.1263,0.1162,0.0957,0.065,0.11,0.0927,0.1018,0.1208,0.0694,0.1196,0.1915,0.3383,0.1735,0.1636,0.1766,0.2422,0.1711,0.1482,0.1189,0.0835,0.1531,0.1136,0.1042,0.1257
