timestamp,model,dataset,run_id,is_best,seed,reg_weight,valid_recall@5,valid_recall@10,valid_recall@20,valid_recall@50,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,valid_ndcg@50,valid_precision@5,valid_precision@10,valid_precision@20,valid_precision@50,valid_map@5,valid_map@10,valid_map@20,valid_map@50,test_recall@5,test_recall@10,test_recall@20,test_recall@50,test_ndcg@5,test_ndcg@10,test_ndcg@20,test_ndcg@50,test_precision@5,test_precision@10,test_precision@20,test_precision@50,test_map@5,test_map@10,test_map@20,test_map@50
2025-10-15 16:19:38,VBPR,movielens_1m,1,No,999,2.0,0.0008,0.0016,0.0044,0.0124,0.0018,0.0022,0.0034,0.0063,0.0018,0.0021,0.0028,0.0033,0.0008,0.0007,0.0007,0.0009,0.0007,0.0017,0.0038,0.0108,0.0018,0.0023,0.0031,0.0059,0.002,0.0023,0.0026,0.0033,0.0008,0.0007,0.0006,0.0008
2025-10-15 16:19:38,VBPR,movielens_1m,2,No,999,1.0,0.0008,0.0021,0.0041,0.0103,0.0022,0.0028,0.0034,0.0056,0.0021,0.0025,0.0025,0.0028,0.0011,0.0009,0.0008,0.0009,0.0008,0.0013,0.0028,0.0091,0.0023,0.0023,0.0029,0.0053,0.0023,0.0022,0.0025,0.003,0.0011,0.0007,0.0006,0.0007
2025-10-15 16:19:38,VBPR,movielens_1m,3,Yes,999,0.1,0.0951,0.1525,0.2453,0.4105,0.1737,0.179,0.2016,0.2547,0.1529,0.1315,0.1102,0.0801,0.1066,0.092,0.0907,0.1015,0.094,0.157,0.2466,0.4176,0.1857,0.1922,0.2147,0.2721,0.1694,0.1476,0.1225,0.0892,0.1125,0.0969,0.0957,0.1082
2025-10-15 16:19:38,VBPR,movielens_1m,4,No,999,0.01,0.0831,0.1386,0.225,0.386,0.1603,0.166,0.1872,0.2386,0.1409,0.1229,0.1042,0.0767,0.0985,0.0846,0.083,0.0929,0.0838,0.14,0.2247,0.3888,0.1723,0.1763,0.1969,0.252,0.1596,0.138,0.1152,0.0853,0.1028,0.0871,0.0848,0.0962
2025-10-15 16:19:38,VBPR,movielens_1m,5,No,999,0.001,0.082,0.1358,0.2219,0.381,0.1589,0.164,0.1849,0.2356,0.1397,0.1219,0.1034,0.076,0.0976,0.0836,0.0818,0.0914,0.0818,0.138,0.2215,0.3835,0.1694,0.1741,0.1942,0.2486,0.1568,0.1366,0.1141,0.0845,0.1011,0.0858,0.0833,0.0944
2025-10-15 16:19:38,VBPR,movielens_1m,6,No,999,0.0001,0.082,0.1357,0.2214,0.3803,0.1589,0.1639,0.1848,0.2354,0.1397,0.1217,0.1034,0.076,0.0976,0.0835,0.0817,0.0913,0.0819,0.1374,0.2209,0.3829,0.1695,0.1737,0.1939,0.2483,0.157,0.1362,0.1139,0.0844,0.1011,0.0856,0.0831,0.0942
2025-10-15 16:19:38,VBPR,movielens_1m,7,No,999,1e-05,0.0821,0.1356,0.2213,0.3802,0.1591,0.1639,0.1848,0.2354,0.1397,0.1216,0.1034,0.076,0.0978,0.0836,0.0817,0.0913,0.0818,0.1375,0.221,0.3828,0.1695,0.1737,0.1939,0.2483,0.157,0.1362,0.1139,0.0844,0.1011,0.0855,0.0831,0.0942
