timestamp,model,dataset,vision_feature,text_feature,audio_feature,seed,reg_weight,valid_recall@5,valid_recall@10,valid_recall@20,valid_recall@50,valid_ndcg@5,valid_ndcg@10,valid_ndcg@20,valid_ndcg@50,valid_precision@5,valid_precision@10,valid_precision@20,valid_precision@50,valid_map@5,valid_map@10,valid_map@20,valid_map@50,test_recall@5,test_recall@10,test_recall@20,test_recall@50,test_ndcg@5,test_ndcg@10,test_ndcg@20,test_ndcg@50,test_precision@5,test_precision@10,test_precision@20,test_precision@50,test_map@5,test_map@10,test_map@20,test_map@50
2025-10-22 09:09:44,VBPR,movielens_1m,None,text_minilm.npy,None,999,1e-05,0.1119,0.1878,0.2894,0.4634,0.2051,0.2156,0.2394,0.2954,0.1771,0.1554,0.1269,0.0899,0.1306,0.1161,0.115,0.1275,0.1144,0.1877,0.2939,0.4678,0.2196,0.2269,0.2544,0.3131,0.1999,0.1713,0.1425,0.1001,0.1363,0.1192,0.1195,0.1339
2025-10-22 10:34:23,VBPR,movielens_1m,None,None,audio_vggish.npy,999,1e-05,0.1127,0.1818,0.285,0.4609,0.2047,0.2123,0.2371,0.2935,0.1767,0.1531,0.1269,0.0902,0.1299,0.1145,0.1134,0.1259,0.1147,0.1876,0.2913,0.4675,0.2217,0.2278,0.2543,0.3132,0.2015,0.1722,0.1432,0.1006,0.1374,0.1194,0.1193,0.1335
2025-10-22 12:00:20,VBPR,movielens_1m,image_vit.npy,None,None,999,1e-05,0.1134,0.1856,0.2856,0.4607,0.2054,0.214,0.2381,0.2942,0.1773,0.1538,0.1268,0.0899,0.1307,0.1153,0.1142,0.1268,0.1148,0.1881,0.2913,0.4654,0.2193,0.228,0.2543,0.3131,0.1985,0.172,0.1424,0.1002,0.1356,0.12,0.12,0.1344
2025-10-22 13:32:24,VBPR,movielens_1m,image_vit.npy,text_minilm.npy,None,999,1e-05,0.1153,0.1871,0.2872,0.4626,0.2091,0.2165,0.2403,0.296,0.1804,0.1549,0.1273,0.0899,0.1335,0.1174,0.116,0.1282,0.1139,0.1895,0.2904,0.4646,0.2179,0.2279,0.2534,0.3119,0.1972,0.1725,0.1422,0.0999,0.1353,0.1199,0.1194,0.1335
2025-10-22 15:09:13,VBPR,movielens_1m,image_clip.npy,text_clip.npy,None,999,1e-05,0.117,0.1878,0.289,0.4642,0.2073,0.2152,0.2401,0.2965,0.1788,0.1535,0.127,0.09,0.1319,0.1167,0.1161,0.1288,0.1152,0.1911,0.2942,0.4681,0.2205,0.23,0.2554,0.3141,0.1997,0.1745,0.1424,0.1001,0.1376,0.1211,0.1204,0.1347
2025-10-22 16:42:50,VBPR,movielens_1m,image_vit.npy,text_minilm.npy,audio_vggish.npy,999,1e-05,0.1153,0.1869,0.2882,0.462,0.2086,0.2164,0.2404,0.296,0.1804,0.155,0.127,0.0898,0.1332,0.1175,0.1162,0.1286,0.1163,0.1876,0.2926,0.4672,0.2191,0.2271,0.2542,0.3129,0.1986,0.1718,0.1426,0.1001,0.1356,0.1195,0.1196,0.1339
2025-10-22 17:48:52,VBPR,movielens_1m,image_audioclip.npy,text_audioclip.npy,audio_audioclip.npy,999,1e-05,0.0951,0.1524,0.2454,0.4105,0.1737,0.1789,0.2016,0.2547,0.1529,0.1315,0.1102,0.0801,0.1066,0.092,0.0907,0.1015,0.094,0.157,0.2466,0.4176,0.1857,0.1922,0.2147,0.2721,0.1694,0.1476,0.1225,0.0892,0.1125,0.0969,0.0957,0.1082
